radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
GSM;262;2;687;20132;;7.143.758;49.491.799;14316;2324;1;1299584114;1463878106;-86
GSM;262;2;687;5513;;7.119.468;49.454.013;99489;13379;1;1299584114;1463878105;-81
GSM;262;2;687;5511;;714.734;49.495.212;93453;8920;1;1299584114;1463878105;-87
GSM;262;2;318;11993;;13.427.765;52.551.011;158108;34481;1;1303312098;1463878104;-51
GSM;262;2;318;41603;;13.426.786;5.255.821;93009;26734;1;1303312784;1463878105;-53
GSM;262;2;318;11851;;13.421.662;5.255.672;80466;30217;1;1303313874;1463878104;-62
GSM;262;2;318;41602;;13.438.494;52.559.178;80066;18319;1;1303313874;1463878105;-57
GSM;262;2;318;29792;;13.426.272;52.557.286;152900;15226;1;1303313874;1463878105;-56
GSM;262;7;10224;4874;;10.114.496;51.872.632;120081;3751;0;1303422930;1463878108;-66
GSM;262;7;10224;24576;;1.016.657;51.904.214;112651;3948;0;1303423051;1463878108;-69
GSM;262;7;10224;57577;;10.179.799;51.887.814;71568;1134;0;1303423051;1463878108;-76
GSM;262;7;10224;44874;;10.125.753;51.909.977;117160;836;1;1303423051;1463878108;-81
GSM;262;3;432;18492;;10.129.204;51.881.079;120562;73476;1;1303423536;1463878106;-70
GSM;262;7;20251;45567;;11.572.151;52.075.678;153991;3885;1;1306399996;1463875258;-54
GSM;208;1;18436;3520;;-0.928693;48.994.671;11744;181;1;1308983851;1463878089;-69
GSM;208;1;18436;36893;;-0.983372;48.965.525;18450;222;1;1308983851;1463878089;-68
GSM;262;2;318;1332;;13.416.117;52.554.016;157840;20181;1;1309868969;1463878104;-59
GSM;262;7;10213;44488;;1.046.841;52.158.103;86778;1786;1;1309869579;1463878107;-76
GSM;262;2;318;29793;;13.415.415;52.558.788;80602;14186;1;1309873125;1463878105;-66
GSM;262;2;318;11991;;13.432.024;52.554.826;52845;11297;1;1309883560;1463878104;-62
GSM;262;7;10107;41409;;10.624.512;53.864.093;151067;2271;1;1309943195;1463878107;-67
GSM;262;7;10107;21425;;10.635.237;5.386.904;80725;2449;1;1309943195;1463878106;-64
GSM;262;7;10107;41407;;10.610.115;53.854.253;149677;1189;1;1309943195;1463878107;-60
GSM;262;7;10107;48409;;10.628.052;53.865.795;125232;1056;1;1309943195;1463878107;-70
GSM;262;7;10107;1407;;10.633.177;53.864.467;151564;688;1;1309943195;1463878106;-69
GSM;262;7;10107;8407;;10.640.015;53.866.333;152053;570;1;1309943195;1463878106;-76
GSM;262;7;10107;41405;;10.640.333;5.385.678;88607;678;1;1309943195;1463878107;-83
